State,1st_congress,65th_congress,66th_congress,67th_congress,68th_congress,69th_congress,70th_congress,71st_congress,72nd_congress,73rd_congress,74th_congress,75th_congress,76th_congress,77th_congress,78th_congress,79th_congress,80th_congress,81st_congress,82nd_congress,83rd_congress,84th_congress,85th_congress,86th_congress,87th_congress,88th_congress,89th_congress,90th_congress,91st_congress,92nd_congress,93rd_congress,94th_congress,95th_congress,96th_congress,97th_congress,98th_congress,99th_congress,100th_congress,101st_congress,102nd_congress,103rd_congress,104th_congress,105th_congress,106th_congress,107th_congress,108th_congress,109th_congress,110th_congress,111th_congress,112th_congress,113th_congress,114th_congress,115th_congress,116th_congress,Latitude,Longitude
MO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,3,3,3,2,1,2,2,3,4,3,3,2,38.456085,-92.288368
MT,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.921925,-110.454353
NE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,41.12537,-98.268082
NV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,3,4,38.313515,-117.055374
NH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,4,3,43.452492,-71.563896
NJ,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,40.298904,-74.521011
NM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,2,34.840515,-106.248482
NY,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,3,3,2,1,1,1,2,3,3,2,3,2,1,0,1,3,3,5,6,7,6,7,7,7,8,8,10,8,9,10,9,42.165726,-74.948051
NC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,4,4,3,2,2,35.630066,-79.806419
ND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,47.528912,-99.784012
